Open Time (UTC),Close Time (UTC),Symbol,Open Price,Close Price,Total Size,Closed PNL,Exchange fee paid,Funding fee paid,Realised PNL,ROI
2024-11-11 15:26,2024-11-11 15:40,MOODENGUSDT USDT-Margin,0.34696,0.34332,1826,-6.64664000 USDT,0.75627077 USDT,0.00000000 USDT,-7.40291077 USDT,-5.76%
2024-11-11 11:15,2024-11-11 15:40,GOATUSDT USDT-Margin,0.86317481,0.81728605,2021,-92.74120000 USDT,2.03772684 USDT,0.00000000 USDT,-94.77892684 USDT,-24.19%
2024-11-11 11:30,2024-11-11 15:26,TOKENUSDT USDT-Margin,0.05429992,0.05379619,12581,-6.33741000 USDT,0.77711994 USDT,0.00000000 USDT,-7.11452994 USDT,-5.12%
2024-11-11 11:50,2024-11-11 14:40,ONDOUSDT USDT-Margin,0.9191,0.9065,498,-6.27480000 USDT,0.54548928 USDT,0.00000000 USDT,-6.82028928 USDT,-7.39%
2024-11-11 11:36,2024-11-11 11:55,GRASSUSDT USDT-Margin,3.5245,3.4593,108,-7.04160000 USDT,0.45255024 USDT,0.00000000 USDT,-7.49415024 USDT,-7.76%
2024-11-11 3:14,2024-11-11 10:15,BTCUSDT USDT-Margin,81394,82190,-0.02,-15.92000000 USDT,1.96300800 USDT,-0.16229020 USDT,-17.72071780 USDT,-10.81%
2024-11-10 21:18,2024-11-11 5:16,MOODENGUSDT USDT-Margin,0.40207668,0.42207524,3645,72.89475000 USDT,1.80242025 USDT,0.32751516 USDT,70.76481459 USDT,42.67%
2024-11-11 4:51,2024-11-11 5:16,TRBUSDT USDT-Margin,88.28792453,86.35924528,5.3,-10.22200000 USDT,0.55537800 USDT,0.00000000 USDT,-10.77737800 USDT,-20.10%
2024-11-10 22:18,2024-11-11 4:37,GOATUSDT USDT-Margin,0.91947985,0.90535894,1191,-16.81800000 USDT,1.30402980 USDT,0.41883987 USDT,-18.54086967 USDT,-16.83%
2024-11-11 0:38,2024-11-11 3:23,TRBUSDT USDT-Margin,86.16431373,85.48627451,5.1,-3.45800000 USDT,0.52525080 USDT,0.00000000 USDT,-3.98325080 USDT,-8.02%
2024-11-11 1:52,2024-11-11 3:13,1000 SHIBUSDT USDT-Margin,0.027348,0.026719,36482,-22.94717800 USDT,1.18348338 USDT,0.00000000 USDT,-24.13066138 USDT,-16.62%
2024-11-11 0:53,2024-11-11 2:02,ZEUSUSDT USDT-Margin,0.56934971,0.56863983,1396,-0.99100000 USDT,0.95318004 USDT,0.00000000 USDT,-1.94418004 USDT,-2.43%
2024-11-11 1:33,2024-11-11 1:46,GRASSUSDT USDT-Margin,3.0204,2.9811,157,-6.17010000 USDT,0.56534130 USDT,0.00000000 USDT,-6.73544130 USDT,-13.73%
2024-11-11 0:24,2024-11-11 0:48,CETUSUSDT USDT-Margin,0.42228628,0.4196,1123,-3.01669000 USDT,0.56726297 USDT,0.00000000 USDT,-3.58395297 USDT,-4.48%
